,date,RGDP1,RGDP2,PGDP1,PGDP2,RNRESIN1,RNRESIN2,RRESINV1,RRESINV2
156,2007:Q4,11630.7,11682.1181,119.7599,120.3801,1382.7,1395.5199,463.9,441.8697
157,2008:Q1,11677.4,11696.6634,120.6006,121.3336,1412.7,1416.8033,432.7,408.4233
158,2008:Q2,11693.1,11695.4279,121.34,122.1044,1398.8,1392.9278,398.8,377.7306
159,2008:Q3,11701.5574,11740.6447,121.9287,122.8418,1431.3036,1426.9873,367.1,353.9409
160,2008:Q4,11719.8627,11641.891,123.1982,123.9472,1428.2535,1398.3042,350.5,332.3918
161,2009:Q1,11599.4,11454.3828,123.108,123.3177,1352.2,1304.4236,330.7,308.0982
162,2009:Q2,11341.9531,11304.6072,124.1886,124.4415,1190.0678,1136.684,294.1157,276.1779
163,2009:Q3,12892.4,12966.3533,109.7297,110.1841,1290.6,1265.7598,337.4,331.8891
164,2009:Q4,13013.6341,13097.0392,109.87,110.2618,1280.0105,1271.1765,362.9,369.8943
165,2010:Q1,13155.0,13240.6948,109.93,110.362,1278.1,1282.4989,364.6,368.0433
166,2010:Q2,13254.7,13363.6142,110.14,110.4814,1298.3,1312.3064,352.6,359.6741
167,2010:Q3,13216.5028,13295.5068,110.4612,110.8282,1354.6988,1382.9188,351.6,349.3499
168,2010:Q4,13260.7,13333.863,111.1086,111.4275,1387.2,1414.1697,321.3,322.6673
169,2011:Q1,13383.0163,13499.8574,111.1507,111.5726,1403.058,1435.2074,326.1425,329.7395
170,2011:Q2,13438.8032,13546.2832,111.6905,112.3033,1420.199,1456.9275,322.5024,325.9364
171,2011:Q3,13270.1027,13353.6461,113.0388,113.4982,1400.1985,1426.9316,324.1,325.8428
172,2011:Q4,13351.925,13434.6538,113.7988,114.3104,1467.3326,1491.668,326.2535,327.8402
173,2012:Q1,13422.6578,13497.2652,113.9061,114.4152,1472.3937,1501.2467,333.9829,339.4071
174,2012:Q2,13502.4,13582.4117,114.4906,114.9742,1476.2,1506.7397,349.4,354.1827
175,2012:Q3,13558.0,13616.7236,115.05,115.5871,1489.3,1512.8307,360.4,368.0074
176,2012:Q4,13616.2,13678.3855,115.86,116.3414,1478.2,1488.6825,371.8857,383.8019
177,2013:Q1,13648.3978,13725.4991,115.9786,116.4711,1506.122,1520.6249,384.339,398.6977
178,2013:Q2,13750.1,13811.8784,116.42,116.8721,1530.3,1548.8839,397.8,411.454
179,2013:Q3,15650.1293,15741.0902,106.2282,106.7054,1971.1141,1996.073,486.2298,498.894
180,2013:Q4,15789.7975,15862.0167,106.6698,107.19,1979.2,2004.9662,504.0,517.1865
181,2014:Q1,15965.4256,16046.3458,107.02,107.5143,2013.3205,2037.1535,487.1974,501.62
182,2014:Q2,15946.7244,16073.914,107.4524,107.9055,2011.9568,2042.7405,482.2973,496.2028
183,2014:Q3,15985.7,16102.6746,108.2195,108.6997,2079.1,2108.2952,494.2,506.9462
184,2014:Q4,16150.2822,16259.6652,108.6052,109.0666,2127.8325,2157.004,498.7311,507.5118
185,2015:Q1,16312.7069,16421.6841,108.6462,108.8177,2155.0579,2179.4384,504.9152,514.8271
186,2015:Q2,16303.9576,16405.3669,108.6675,109.0746,2150.4023,2166.3959,505.7776,516.267
187,2015:Q3,16270.4,16384.4329,109.6597,110.1012,2185.3,2210.2768,520.7,531.8205
188,2015:Q4,16394.2,16504.0535,110.0192,110.3623,2222.1,2242.0461,531.8,542.4659
189,2016:Q1,16442.3,16524.9127,110.2598,110.5577,2214.7,2230.7446,545.0,554.5928
190,2016:Q2,16492.7012,16581.1867,110.4897,110.9119,2179.9002,2191.3221,566.7001,577.0388
191,2016:Q3,16575.0995,16690.0322,111.24,111.6679,2167.3,2177.9409,591.3,597.6165
192,2016:Q4,16701.5725,16792.3481,111.6894,112.211,2191.2,2206.2286,579.3,585.2627
193,2017:Q1,16804.8,16901.2729,112.2399,112.7772,2205.5,2226.9283,596.8,603.5871
194,2017:Q2,16842.4,16972.582,112.8695,113.3663,2247.1,2272.1338,615.4,622.1351
195,2017:Q3,17010.6995,17125.024,113.0385,113.5008,2292.4,2314.3835,594.9,601.4499
196,2017:Q4,17156.9,17270.1639,113.6494,114.1632,2322.6995,2349.3407,585.0,590.0732
197,2018:Q1,17272.5,17403.1961,114.29,114.8204,2365.7,2396.7861,603.4,609.6745
198,2018:Q2,17385.8,17522.0439,114.8492,115.3951,2400.8,2434.1639,605.0,610.2252
199,2018:Q3,18507.2,18645.9167,110.17,110.7749,2701.5,2737.3206,613.7,616.6665
200,2018:Q4,18671.5,18792.3408,110.6304,111.2267,2715.7,2753.4667,607.0,610.3664
201,2019:Q1,18784.6,18857.9338,111.1615,111.6948,2768.0,2798.1143,602.3,601.0514
